C1-001,control
C1-002,control
C1-003,control
C1-004,control
C1-005,control
C2-001,control
C2-002,control
C2-003,control
C2-004,control
C2-005,control
C3-001,control
C3-002,control
C3-003,control
C3-004,control
C3-005,control
C3-006,control
C4-001,control
C4-002,control
C4-003,control
C4-004,control
C4-005,control
C5-001,control
C5-002,control
C5-003,control
C5-004,control
C5-005,control
C5-006,control
C6-001,control
C6-002,control
C6-003,control
C6-004,control
C6-005,control
H1-001,heat
H1-004,heat
H1-005,heat
H2-001,heat
H2-002,heat
H2-003,heat
H2-004,heat
H3-001,heat
H3-002,heat
H3-003,heat
H3-004,heat
H4-001,heat
H4-002,heat
H5-001,heat
H5-002,heat
H5-004,heat
H5-005,heat
H6-001,heat
H6-002,heat
H6-003,heat
H6-004,heat
H6-006,heat
N1-001,natural
N1-002,natural
N1-003,natural
N1-005,natural
N1-006,natural
N2-001,natural
N2-002,natural
N3-001,natural
N3-002,natural
N3-003,natural
N3-004,natural
N3-005,natural
N3-006,natural
N4-002,natural
N4-003,natural
N4-004,natural
N4-005,natural
N5-001,natural
N5-002,natural
N5-003,natural
N5-004,natural
N5-005,natural
N5-006,natural
N5-007,natural
N6-001,natural
N6-002,natural
N6-004,natural
N6-006,natural
S1-001,shade
S1-002,shade
S1-003,shade
S1-004,shade
S1-005,shade
S2-001,shade
S2-002,shade
S2-003,shade
S2-004,shade
S2-005,shade
S2-006,shade
S3-001,shade
S3-002,shade
S3-003,shade
S3-004,shade
S3-005,shade
S4-001,shade
S4-002,shade
S4-004,shade
S4-005,shade
S4-006,shade
S5-001,shade
S5-003,shade
S5-004,shade
S6-001,shade
S6-002,shade
S6-003,shade
S6-004,shade
